Symptom,Echo-Friendly Description,Diagnosis Weights,Tier
Emotional Reactivity,"Do your emotions feel intense, fast-shifting, or hard to control — like waves that crash in before you know what triggered them?","{'BPD': 1.0, 'C-PTSD': 1.0, 'PMDD': 1.0, 'Bipolar II': 1.0, 'ADHD': 0.5, 'Depression': 0.5, 'GAD': 0.5}",Tier 1
Time Blindness,"Do you often lose track of time — running late, forgetting appointments, or underestimating how long things take?","{'ADHD': 1.0, 'Depression': 0.5, 'Autism': 0.5, 'PTSD': 0.5}",Tier 1
Impulsivity,"Do you sometimes act before you think — like blurting things out, spending impulsively, or taking risks you later regret?","{'ADHD': 1.0, 'BPD': 1.0, 'Bipolar II': 1.0, 'C-PTSD': 0.5, 'OCD': -1.0}",Tier 1
Shame or Worthlessness,"Do you carry a deep feeling of being broken, unworthy, or not enough — even when no one else says so?","{'Depression': 1.0, 'C-PTSD': 1.0, 'BPD': 1.0, 'PMDD': 1.0, 'GAD': 0.5, 'Autism': 0.5}",Tier 1
Hypervigilance,Do you often feel on edge — like you're scanning the room or waiting for something to go wrong?,"{'PTSD': 1.0, 'C-PTSD': 1.0, 'GAD': 1.0, 'BPD': 0.5, 'ADHD': 0.5, 'Autism': 0.5}",Tier 1
Dissociation,"Do you ever feel far away — like you’re watching yourself from outside, or the world feels unreal?","{'C-PTSD': 1.0, 'PTSD': 1.0, 'BPD': 1.0, 'ADHD': 0.5, 'Depression': 0.5, 'Autism': 0.5}",Tier 1
Mood Cycles,"Do your moods shift in clear waves — days of low or high energy/emotion, often without clear triggers?","{'Bipolar II': 1.0, 'PMDD': 1.0, 'BPD': 0.5, 'ADHD': 0.5, 'C-PTSD': 0.5}",Tier 1
Intrusive Thoughts,"Do you get thoughts that come out of nowhere — disturbing, repetitive, or hard to stop thinking about?","{'OCD': 1.0, 'PTSD': 1.0, 'GAD': 1.0, 'BPD': 0.5, 'ADHD': 0.5}",Tier 1
Sensory Sensitivity,"Are you easily overwhelmed by sounds, lights, textures, or smells — like your senses are turned up too high?","{'Autism': 1.0, 'PTSD': 1.0, 'ADHD': 1.0, 'PMDD': 0.5, 'OCD': 0.5, 'GAD': 0.5}",Tier 1
Sleep Disruption,"Do you struggle to fall asleep, stay asleep, or feel rested — even when you're exhausted?","{'Depression': 1.0, 'GAD': 1.0, 'PTSD': 1.0, 'ADHD': 1.0, 'PMDD': 1.0, 'Bipolar II': 0.5, 'OCD': 0.5}",Tier 1
Perfectionism,"Do you feel driven to get everything 'just right' — like mistakes feel unbearable, or you avoid things you can’t do perfectly?","{'OCD': 1.0, 'GAD': 1.0, 'Autism': 0.75, 'ADHD': 0.5, 'Depression': 0.5}",Tier 1
Rejection Sensitivity,Do you feel deeply hurt or anxious when someone seems upset with you — even if they haven’t said anything?,"{'BPD': 1.0, 'C-PTSD': 1.0, 'ADHD': 0.75, 'GAD': 0.5, 'Autism': 0.5}",Tier 1
Anhedonia (Loss of Pleasure),"Have you lost interest in things you used to enjoy — like hobbies, food, or even seeing people you care about?","{'Depression': 1.0, 'Bipolar II': 1.0, 'PMDD': 0.75, 'PTSD': 0.5, 'C-PTSD': 0.5}",Tier 1
Fatigue and Exhaustion,Do you feel constantly drained — like you’re running on empty no matter how much rest you get?,"{'Depression': 1.0, 'C-PTSD': 1.0, 'PMDD': 1.0, 'GAD': 0.75, 'ADHD': 0.5, 'PTSD': 0.5}",Tier 1
Self-Harm Urges,"Do you ever feel the urge to hurt yourself — not to end your life, but as a way to release emotional pain or feel something?","{'BPD': 1.0, 'C-PTSD': 1.0, 'Depression': 1.0, 'PMDD': 0.75, 'PTSD': 0.5}",Tier 1
Social Withdrawal,Do you often pull away from people — even if you feel lonely or wish you could connect more?,"{'Depression': 1.0, 'C-PTSD': 1.0, 'Autism': 0.75, 'PMDD': 0.5, 'GAD': 0.5}",Tier 1
Panic or Sudden Surges of Fear,Do you sometimes get hit by sudden waves of panic or intense fear — even if you don’t know why?,"{'GAD': 1.0, 'PTSD': 1.0, 'C-PTSD': 0.75, 'PMDD': 0.5, 'BPD': 0.5}",Tier 1
Overthinking / Rumination,"Do you find yourself replaying conversations, decisions, or worries over and over — like your mind won’t let go?","{'GAD': 1.0, 'OCD': 1.0, 'Depression': 0.75, 'C-PTSD': 0.5, 'BPD': 0.5}",Tier 1
Difficulty Starting Tasks,"Is it hard to begin tasks, even small ones — like there’s an invisible wall between intention and action?","{'ADHD': 1.0, 'Depression': 1.0, 'Autism': 0.5, 'C-PTSD': 0.5, 'PMDD': 0.5}",Tier 1
Feeling Out of Control Before Period (if applicable),Do you feel like your emotions or body become unmanageable before your period — like you become someone else for a week or two?,"{'PMDD': 1.0, 'BPD': 0.5, 'C-PTSD': 0.5, 'Bipolar II': 0.5}",Tier 1
Fear of Abandonment,Do you feel terrified that people might leave you — even when there's no clear reason to think they will?,"{'BPD': 1.0, 'C-PTSD': 0.75, 'GAD': 0.5, 'Autism': 0.25}",Tier 1
Masking / Pretending to Be OK,Do you often hide how you're feeling — putting on a calm or cheerful front even when you're struggling inside?,"{'Autism': 1.0, 'C-PTSD': 1.0, 'Depression': 0.75, 'GAD': 0.5, 'BPD': 0.5, 'PMDD': 0.5}",Tier 1
Extreme Sensitivity to Criticism,"Do you feel crushed, ashamed, or panicked when you’re criticized — even gently?","{'BPD': 1.0, 'C-PTSD': 1.0, 'ADHD': 0.75, 'GAD': 0.5, 'Depression': 0.5}",Tier 1
Obsessive Checking or Repeating,"Do you find yourself checking things over and over — like doors, stoves, or even memories or thoughts — just to feel safe?","{'OCD': 1.0, 'GAD': 0.75, 'PTSD': 0.5, 'ADHD': 0.25, 'C-PTSD': 0.25}",Tier 1
Shutting Down / Numbness,Do you sometimes go emotionally blank — like your system just powers down or you stop feeling anything?,"{'C-PTSD': 1.0, 'Depression': 1.0, 'Autism': 0.75, 'PTSD': 0.75, 'BPD': 0.5}",Tier 1
Distractibility / Racing Thoughts,Do your thoughts bounce quickly — or is it hard to hold focus because your mind keeps racing somewhere else?,"{'ADHD': 1.0, 'Bipolar II': 0.75, 'GAD': 0.5, 'OCD': 0.5, 'BPD': 0.25}",Tier 2
Intrusive Body Memories or Sensations,"Do you ever feel physical sensations — like pain, nausea, or tightness — connected to past experiences or trauma?","{'C-PTSD': 1.0, 'PTSD': 1.0, 'PMDD': 0.5, 'BPD': 0.25, 'OCD': 0.25}",Tier 2
Need for Routine / Resistance to Change,Do changes in routine or environment throw you off — like you rely on sameness to feel stable or safe?,"{'Autism': 1.0, 'OCD': 0.75, 'C-PTSD': 0.5, 'ADHD': 0.25, 'PMDD': 0.25}",Tier 2
Over-Attunement to Others' Moods,Do you constantly scan how others are feeling — like you’re trying to predict what mood someone’s in or avoid upsetting them?,"{'C-PTSD': 1.0, 'BPD': 0.75, 'GAD': 0.5, 'Autism': 0.25, 'PMDD': 0.25}",Tier 2
Guilt for Small or Imagined Mistakes,Do you find yourself feeling guilty over tiny things — or apologizing for things that aren't really your fault?,"{'GAD': 1.0, 'C-PTSD': 1.0, 'BPD': 0.75, 'Depression': 0.5, 'Autism': 0.25}",Tier 2
Suicidal Thoughts or Fantasies,"Have you ever felt like you didn’t want to be here — or caught yourself imagining escape, even if you wouldn’t act on it?","{'Depression': 1.0, 'BPD': 1.0, 'C-PTSD': 1.0, 'PMDD': 1.0, 'PTSD': 0.5, 'Bipolar II': 0.5}",Tier 2
Difficulty Prioritizing / Executive Dysfunction,"Is it hard to figure out where to start — like you see a pile of tasks and freeze, even if they’re all important?","{'ADHD': 1.0, 'Depression': 1.0, 'Autism': 0.75, 'C-PTSD': 0.5, 'PMDD': 0.5}",Tier 2
Overstimulation / Sensory Overload,"Do crowded rooms, loud noises, or busy visuals overwhelm you — like your system can’t filter input?","{'Autism': 1.0, 'ADHD': 0.75, 'PTSD': 0.75, 'C-PTSD': 0.5, 'PMDD': 0.5}",Tier 2
Relationship Whiplash (Push-Pull Dynamics),"Do your relationships swing between closeness and distance — like part of you craves connection, but another part pushes it away?","{'BPD': 1.0, 'C-PTSD': 0.75, 'PMDD': 0.5, 'GAD': 0.25}",Tier 2
Trauma Dreams / Nightmares,Do you ever have intense dreams or nightmares that seem linked to past experiences — even ones you haven’t thought about in years?,"{'PTSD': 1.0, 'C-PTSD': 1.0, 'BPD': 0.5, 'Depression': 0.25, 'PMDD': 0.25}",Tier 2
Fear of Losing Control,"Do you ever feel afraid you’ll snap — yell, cry, break something, or lose control of yourself completely?","{'BPD': 1.0, 'OCD': 1.0, 'C-PTSD': 0.75, 'PMDD': 0.5, 'GAD': 0.5}",Tier 2
People-Pleasing / Fawn Response,Do you go out of your way to keep others happy or avoid conflict — even if it means ignoring your own needs?,"{'C-PTSD': 1.0, 'BPD': 0.75, 'GAD': 0.5, 'Autism': 0.25, 'PMDD': 0.25}",Tier 2
Difficulty Regulating Emotions,Do your feelings go from 0 to 100 quickly — like a small thing can set off a big wave of emotion before you can stop it?,"{'BPD': 1.0, 'C-PTSD': 1.0, 'PMDD': 1.0, 'ADHD': 0.5, 'Bipolar II': 0.5}",Tier 2
Feeling Like a Different Person Each Week,Do you sometimes look back and feel like you were a different version of yourself just a few days ago?,"{'PMDD': 1.0, 'Bipolar II': 1.0, 'BPD': 0.75, 'C-PTSD': 0.5}",Tier 2
Flashbacks (Emotional or Visual),Do you ever feel like you’re reliving something — emotionally or even with sights/sounds — as if it’s happening all over again?,"{'PTSD': 1.0, 'C-PTSD': 1.0, 'BPD': 0.25, 'GAD': 0.25}",Tier 2
Emotional Numbness or Detachment,Do you sometimes feel like your emotions are shut off — like you’re watching life from behind a glass wall?,"{'Depression': 1.0, 'C-PTSD': 1.0, 'PTSD': 1.0, 'BPD': 0.5, 'Autism': 0.25}",Tier 2
Catastrophic Thinking / Worst-Case Scenario Loops,"Do you often imagine the worst possible outcome — even for small things, like a conversation or text?","{'GAD': 1.0, 'OCD': 1.0, 'C-PTSD': 0.75, 'ADHD': 0.25}",Tier 2
Need for Reassurance,Do you frequently seek reassurance from others — like you feel better only when someone confirms everything is okay?,"{'OCD': 1.0, 'GAD': 1.0, 'BPD': 0.75, 'C-PTSD': 0.5}",Tier 2
Intrusive Violent or Taboo Thoughts,Do you ever get disturbing thoughts that feel wrong or scary — like they’re not even yours?,"{'OCD': 1.0, 'PTSD': 0.75, 'BPD': 0.5, 'GAD': 0.5}",Tier 2
Self-Image Confusion or Identity Shifts,"Do you feel unsure about who you really are — like your values, beliefs, or personality change depending on who you're with?","{'BPD': 1.0, 'C-PTSD': 1.0, 'Depression': 0.5, 'Autism': 0.25}",Tier 2
Sudden Rage or Explosive Anger,Do you sometimes explode in anger out of nowhere — even over things that don't usually bother others?,"{'BPD': 1.0, 'PMDD': 1.0, 'C-PTSD': 0.75, 'Bipolar II': 0.5, 'ADHD': 0.25}",Tier 2
Fear of Being a Bad Person,Do you ever worry that you might secretly be a bad person — even if you haven’t done anything wrong?,"{'OCD': 1.0, 'C-PTSD': 1.0, 'BPD': 0.5, 'PMDD': 0.5, 'GAD': 0.25}",Tier 2
Chronic Overcommitment / Can't Say No,Do you often take on too much or say 'yes' when you want to say 'no' — because you feel guilty or afraid to disappoint?,"{'C-PTSD': 1.0, 'GAD': 1.0, 'ADHD': 0.5, 'BPD': 0.5}",Tier 2
Perceived Criticism as Personal Attack,Do you sometimes feel like any critique — even gentle — means someone doesn’t like you or thinks you’re awful?,"{'BPD': 1.0, 'C-PTSD': 1.0, 'PMDD': 0.5, 'GAD': 0.5, 'Depression': 0.25}",Tier 2
Feeling Like a Burden,Do you often feel like you’re a problem for other people — like your presence is too much or your needs are inconvenient?,"{'Depression': 1.0, 'C-PTSD': 1.0, 'BPD': 0.75, 'GAD': 0.5, 'PMDD': 0.25}",Tier 2
