Symptom,Echo-Friendly Description,Tier,Sample Weights,Vault Card Tags
Do you start new projects or ideas with excitement — but abandon them quickly?,"Like your brain runs on bursts, then fizzles out?",Tier 1,"{'ADHD': 1.0, 'Bipolar_II': 0.5}","{'condition': ['ADHD', 'Bipolar_II'], 'emotion': ['abandonment'], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel tension in your body most of the time — like your muscles are always slightly braced?,"Like your nervous system never fully settles, even when you're safe?",Tier 1,"{'CPTSD': 1.0, 'GAD': 0.5}","{'condition': ['CPTSD', 'GAD'], 'emotion': [], 'narrative_type': ['body_sensation', 'metaphor'], 'usage_mode': []}"
Do you tend to mentally script or over-plan social interactions ahead of time?,Like being spontaneous feels unsafe or risky in conversation?,Tier 2,"{'Autism': 1.0, 'OCD': 0.5}","{'condition': ['Autism', 'OCD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you ever feel like you're chasing a version of yourself you can’t quite reach?,"Like there's a ‘you’ you’re supposed to be, and you’re always falling short?",Tier 2,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you find it hard to let yourself rest without guilt?,Like you always feel like there’s something you should be doing instead?,Tier 2,"{'GAD': 1.0, 'Depression': 0.5}","{'condition': ['GAD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you often feel like you’re in survival mode — even when life isn’t actively hard?,Like your nervous system is still stuck in ‘brace and endure’?,Tier 2,"{'CPTSD': 1.0, 'GAD': 0.5}","{'condition': ['CPTSD', 'GAD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
"Do you avoid conflict because you’re afraid you’ll be too much, not because you think you’re wrong?",Like your intensity might overwhelm the moment?,Tier 2,"{'BPD': 1.0, 'CPTSD': 0.5}","{'condition': ['BPD', 'CPTSD'], 'emotion': ['abandonment'], 'narrative_type': ['lived_experience'], 'usage_mode': ['reflection']}"
Do you often get distracted by your own thoughts — even during activities you usually enjoy?,Like your mind keeps pulling you away from what you're trying to focus on?,Tier 1,"{'ADHD': 1.0, 'Depression': 0.5}","{'condition': ['ADHD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you sometimes feel like your body is moving through the world, but your mind is somewhere else?",Like you’re going through the motions without really ‘being there’?,Tier 1,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['body_sensation', 'metaphor'], 'usage_mode': []}"
Do you find it hard to accept help — even when you want or need it?,Like receiving support feels vulnerable or dangerous?,Tier 2,"{'CPTSD': 1.0, 'BPD': 0.5}","{'condition': ['CPTSD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you overcommit — say yes to too many things, then feel overwhelmed?",Like you're trying to be dependable and stretch too far?,Tier 1,"{'ADHD': 1.0, 'GAD': 0.5}","{'condition': ['ADHD', 'GAD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes feel emotionally numb but physically anxious — like your mind and body are out of sync?,Like your heart’s racing but your brain’s flat?,Tier 2,"{'CPTSD': 1.0, 'Depression': 0.5}","{'condition': ['CPTSD', 'Depression'], 'emotion': ['shutdown'], 'narrative_type': ['body_sensation', 'metaphor'], 'usage_mode': []}"
Do you feel intense relief after cancelling plans?,Like you didn’t even realize how much dread or strain you were carrying until you were off the hook?,Tier 2,"{'Autism': 1.0, 'GAD': 0.5}","{'condition': ['Autism', 'GAD'], 'emotion': ['overwhelm'], 'narrative_type': ['lived_experience'], 'usage_mode': ['reflection']}"
Do you often get hit with unexpected waves of sadness — even when nothing is ‘wrong’?,Like grief or heaviness just appears out of nowhere?,Tier 2,"{'Depression': 1.0, 'PMDD': 0.5}","{'condition': ['Depression', 'PMDD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you find it hard to distinguish between being lazy and being exhausted?,Like you’re not sure if you're avoiding or just depleted?,Tier 2,"{'Depression': 1.0, 'CPTSD': 0.5}","{'condition': ['Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you often feel emotionally ‘leaky’ — like small things spill out big reactions?,Like your threshold for holding it in is lower than others’?,Tier 1,"{'BPD': 1.0, 'PMDD': 0.5}","{'condition': ['BPD', 'PMDD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you need a long time to recover from social events — even fun ones?,Like your nervous system needs a cooldown after connection?,Tier 1,"{'Autism': 1.0, 'CPTSD': 0.5}","{'condition': ['Autism', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes fear being ‘too much’ for people — even when you try to be careful?,Like your emotions or needs might overwhelm others?,Tier 2,"{'BPD': 1.0, 'CPTSD': 0.5}","{'condition': ['BPD', 'CPTSD'], 'emotion': ['abandonment'], 'narrative_type': ['lived_experience'], 'usage_mode': ['reflection']}"
Do you find yourself analyzing how you’re being perceived in real time?,Like your brain is running commentary on how you’re coming across?,Tier 2,"{'GAD': 1.0, 'BPD': 0.5}","{'condition': ['GAD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you often struggle to follow instructions unless you understand *why* they matter?,Like you can’t hold the steps if the meaning isn’t clear?,Tier 1,"{'ADHD': 1.0, 'Autism': 0.5}","{'condition': ['ADHD', 'Autism'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you get emotionally overwhelmed by kindness or affection?,Like it’s almost too much to receive — even if you crave it?,Tier 2,"{'BPD': 1.0, 'CPTSD': 0.5}","{'condition': ['BPD', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes feel panicky in public spaces — even if nothing specific is happening?,Like the energy around you triggers something old and wordless?,Tier 2,"{'PTSD': 1.0, 'CPTSD': 0.5}","{'condition': ['PTSD', 'CPTSD'], 'emotion': ['panic'], 'narrative_type': ['lived_experience'], 'usage_mode': ['grounding']}"
"Do you feel like your mind goes quiet when you’re upset — not racing, just *blank*?","Like there’s nothing to say or think, just shutdown?",Tier 1,"{'CPTSD': 1.0, 'Depression': 0.5}","{'condition': ['CPTSD', 'Depression'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you sometimes avoid joy or excitement because you’re afraid it won’t last?,Like letting yourself feel good might trigger a crash later?,Tier 2,"{'Depression': 1.0, 'BPD': 0.5}","{'condition': ['Depression', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you often feel like you're performing rather than participating in life?,"Like you're playing a role to get through the day, instead of actually being *in* the day?",Tier 3,"{'CPTSD': 0.5, 'Autism': 0.5, 'Depression': 0.25}","{'condition': ['CPTSD', 'Autism', 'Depression'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you find yourself zoning out mid-conversation or while doing something familiar?,Like your body’s doing the thing but your brain has slipped somewhere else?,Tier 3,"{'ADHD': 0.5, 'CPTSD': 0.5, 'Depression': 0.25}","{'condition': ['ADHD', 'CPTSD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you often feel like you're too much *and* not enough at the same time?,Like you're overwhelming people and still somehow falling short?,Tier 3,"{'BPD': 0.5, 'CPTSD': 0.5, 'Depression': 0.25}","{'condition': ['BPD', 'CPTSD', 'Depression'], 'emotion': ['abandonment'], 'narrative_type': ['metaphor'], 'usage_mode': ['reflection']}"
Do you catch yourself apologizing for things that aren’t your fault?,Like defaulting to ‘sorry’ — even when you didn’t actually do anything wrong?,Tier 3,"{'GAD': 0.5, 'CPTSD': 0.5, 'BPD': 0.25}","{'condition': ['GAD', 'CPTSD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do compliments ever feel hard to believe — like they’re meant for someone else?,"Like praise doesn’t quite land, or it bounces off before you can feel it?",Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'Autism': 0.25}","{'condition': ['Depression', 'CPTSD', 'Autism'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you tend to minimize your own pain — even while helping others through theirs?,"Like you’re allowed to support everyone, but don’t know how to receive it yourself?",Tier 3,"{'CPTSD': 0.5, 'Depression': 0.5, 'GAD': 0.25}","{'condition': ['CPTSD', 'Depression', 'GAD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel like your reactions are sometimes bigger than the moment that caused them?,Like something small triggers something *big* in you?,Tier 3,"{'BPD': 0.5, 'PMDD': 0.5, 'CPTSD': 0.25}","{'condition': ['BPD', 'PMDD', 'CPTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel like your brain jumps ahead — narrating worst-case scenarios before they happen?,Like it auto-loads catastrophe without your permission?,Tier 3,"{'GAD': 0.5, 'OCD': 0.5, 'CPTSD': 0.25}","{'condition': ['GAD', 'OCD', 'CPTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
"Do you ever struggle to feel truly ‘rested’ — even after breaks, weekends, or sleep?","Like rest isn't enough, because your *mind* never stops?",Tier 3,"{'ADHD': 0.5, 'Depression': 0.5, 'CPTSD': 0.25}","{'condition': ['ADHD', 'Depression', 'CPTSD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you ever feel like you're faking being human more than actually being one?,Like there's a manual everyone got that you missed — and you’re just trying to copy the moves?,Tier 3,"{'Autism': 0.5, 'CPTSD': 0.5, 'BPD': 0.25}","{'condition': ['Autism', 'CPTSD', 'BPD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
"Do you ever feel like disappearing — not dying, just *not being here* for a while?",Like vanishing would be easier than trying to keep going?,Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'BPD': 0.25}","{'condition': ['Depression', 'CPTSD', 'BPD'], 'emotion': ['shutdown'], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel like you work twice as hard just to seem ‘normal’?,Like holding yourself together takes more effort than people know?,Tier 3,"{'Autism': 0.5, 'CPTSD': 0.5, 'ADHD': 0.25}","{'condition': ['Autism', 'CPTSD', 'ADHD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you ever feel like you’re too sensitive for this world — emotionally or physically?,Like you were built without the right armor?,Tier 3,"{'BPD': 0.5, 'CPTSD': 0.5, 'PMDD': 0.25}","{'condition': ['BPD', 'CPTSD', 'PMDD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you sometimes feel like your body doesn’t belong to you — like you’re not fully in it?,"Like you're piloting it remotely, or watching from outside?",Tier 3,"{'CPTSD': 0.5, 'PTSD': 0.5, 'Autism': 0.25}","{'condition': ['CPTSD', 'PTSD', 'Autism'], 'emotion': [], 'narrative_type': ['body_sensation', 'metaphor'], 'usage_mode': []}"
Do you feel like your best effort still isn’t enough — like the goalposts keep moving?,"No matter how much you try, it doesn’t really ‘count’ somehow?",Tier 3,"{'Depression': 0.5, 'GAD': 0.5, 'ADHD': 0.25}","{'condition': ['Depression', 'GAD', 'ADHD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you catch yourself trying to be whoever the room needs — even if it costs you later?,Like you shapeshift to avoid discomfort or rejection?,Tier 3,"{'CPTSD': 0.5, 'BPD': 0.5, 'Autism': 0.25}","{'condition': ['CPTSD', 'BPD', 'Autism'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you ever feel an urge to hurt yourself — not to die, but just to feel *something* again?","Like it might help you feel real again, or at least interrupt the numbness?",Tier 3,"{'BPD': 0.5, 'CPTSD': 0.5, 'Depression': 0.25}","{'condition': ['BPD', 'CPTSD', 'Depression'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you sometimes feel like you’ve forgotten who you were — like the old ‘you’ disappeared?,Like you can’t trace the thread back to who you used to be?,Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'BPD': 0.25}","{'condition': ['Depression', 'CPTSD', 'BPD'], 'emotion': ['shutdown'], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel like your needs are too much — so you just stop having them?,Like asking for care feels dangerous or exhausting?,Tier 3,"{'CPTSD': 0.5, 'BPD': 0.5, 'GAD': 0.25}","{'condition': ['CPTSD', 'BPD', 'GAD'], 'emotion': ['abandonment'], 'narrative_type': ['metaphor'], 'usage_mode': ['reflection']}"
Do you feel scared of how much emotion is inside you — like you're afraid it could break something?,"Like there's more than you know how to carry, and you're holding it in with duct tape?",Tier 3,"{'BPD': 0.5, 'PMDD': 0.5, 'CPTSD': 0.25}","{'condition': ['BPD', 'PMDD', 'CPTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you sometimes feel like the only calm moment is when you're alone — even if you're also lonely?,"Like solitude is the only safe space, even when you wish it wasn't?",Tier 3,"{'CPTSD': 0.5, 'Autism': 0.5, 'Depression': 0.25}","{'condition': ['CPTSD', 'Autism', 'Depression'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you ever feel like you're on autopilot — doing tasks without really *being there*?,Like your body’s going through motions your brain hasn’t caught up to?,Tier 3,"{'Depression': 0.5, 'ADHD': 0.5, 'CPTSD': 0.25}","{'condition': ['Depression', 'ADHD', 'CPTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you avoid eye contact even with people you trust?,"Like looking someone in the eyes feels too raw, even when you love them?",Tier 3,"{'Autism': 0.5, 'CPTSD': 0.5, 'BPD': 0.25}","{'condition': ['Autism', 'CPTSD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes wish you could just *pause being you* for a while?,Like even existing as yourself is exhausting sometimes?,Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'PMDD': 0.25}","{'condition': ['Depression', 'CPTSD', 'PMDD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel like you're constantly preparing for something bad — even when nothing is wrong?,"Like your brain stays braced, even on calm days?",Tier 3,"{'GAD': 0.5, 'CPTSD': 0.5, 'OCD': 0.25}","{'condition': ['GAD', 'CPTSD', 'OCD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you get a burst of anxiety or dread right before doing something you usually enjoy?,Like joy gets ambushed at the last second?,Tier 3,"{'GAD': 0.5, 'Depression': 0.5, 'PMDD': 0.25}","{'condition': ['GAD', 'Depression', 'PMDD'], 'emotion': ['overwhelm'], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you find yourself needing escape — like scrolling, sleeping, drinking, or vanishing into fantasy?","Not to celebrate, but to *not feel*?",Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'ADHD': 0.25}","{'condition': ['Depression', 'CPTSD', 'ADHD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
"Do you sometimes feel physically heavy — like the air, your limbs, or your chest are full of static?",Like even walking or sitting upright feels heavier than it should?,Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'PMDD': 0.25}","{'condition': ['Depression', 'CPTSD', 'PMDD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
"Do you sometimes get stuck on a task, like a glitch — knowing what to do but *frozen* anyway?","Like something in you won't let the task start, no matter how ready you are?",Tier 3,"{'ADHD': 0.5, 'CPTSD': 0.5, 'Depression': 0.25}","{'condition': ['ADHD', 'CPTSD', 'Depression'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you ever feel like you're constantly managing invisible fires — but no one else sees the smoke?,Like you’re doing crisis control behind the scenes while others think you’re fine?,Tier 3,"{'CPTSD': 0.5, 'GAD': 0.5, 'BPD': 0.25}","{'condition': ['CPTSD', 'GAD', 'BPD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you ever feel like you're *pretending* to be okay more than you actually are?,Like you’ve mastered looking fine while quietly falling apart inside?,Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'BPD': 0.25}","{'condition': ['Depression', 'CPTSD', 'BPD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you sometimes feel deeply unseen — even in rooms full of people?,Like you're physically there but emotionally invisible?,Tier 3,"{'CPTSD': 0.5, 'Depression': 0.5, 'Autism': 0.25}","{'condition': ['CPTSD', 'Depression', 'Autism'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you catch yourself trying to control tiny details when you feel emotionally out of control?,"Like lining things up or rewriting the same sentence — not because you want to, but because it soothes something?",Tier 3,"{'OCD': 0.5, 'CPTSD': 0.5, 'Autism': 0.25}","{'condition': ['OCD', 'CPTSD', 'Autism'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you ever get a surge of panic with no warning — like your body suddenly flips into alarm mode?,Like fear arrives before a thought explains it?,Tier 3,"{'PTSD': 0.5, 'GAD': 0.5, 'CPTSD': 0.25}","{'condition': ['PTSD', 'GAD', 'CPTSD'], 'emotion': ['panic'], 'narrative_type': ['body_sensation', 'metaphor'], 'usage_mode': ['grounding']}"
"Do you sometimes feel like your brain keeps switching tabs, but never settles on one thing?",Like there's noise in the background of everything you do?,Tier 3,"{'ADHD': 0.5, 'Autism': 0.5, 'GAD': 0.25}","{'condition': ['ADHD', 'Autism', 'GAD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you ever feel broken in a way that doesn’t show on the outside?,"Like there’s a crack somewhere no one else sees, but you feel it every day?",Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'BPD': 0.25}","{'condition': ['Depression', 'CPTSD', 'BPD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you hold in how you're feeling so you don’t ‘ruin the vibe’ for others?,Like protecting the peace means swallowing your truth?,Tier 3,"{'CPTSD': 0.5, 'GAD': 0.5, 'Autism': 0.25}","{'condition': ['CPTSD', 'GAD', 'Autism'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you sometimes want connection but push people away when they get too close?,Like closeness burns and distance feels safer — even if it hurts?,Tier 3,"{'BPD': 0.5, 'CPTSD': 0.5, 'PMDD': 0.25}","{'condition': ['BPD', 'CPTSD', 'PMDD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel like you're running from something you can’t name — even when life is calm?,Like you’re chased by something that lives inside you?,Tier 3,"{'CPTSD': 0.5, 'GAD': 0.5, 'Depression': 0.25}","{'condition': ['CPTSD', 'GAD', 'Depression'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
"Do you ever feel like the world is happening *at* you, not with you?","Like you're just reacting to it all, trying not to break?",Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'Autism': 0.25}","{'condition': ['Depression', 'CPTSD', 'Autism'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you ever feel like asking for help will just make things worse?,"Like reaching out might lead to judgment, misunderstanding, or being a burden?",Tier 3,"{'CPTSD': 0.5, 'Depression': 0.5, 'GAD': 0.25}","{'condition': ['CPTSD', 'Depression', 'GAD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you sometimes forget how to talk about your own feelings?,"Like the words vanish, or you’re afraid they’ll come out wrong?",Tier 3,"{'Autism': 0.5, 'CPTSD': 0.5, 'Depression': 0.25}","{'condition': ['Autism', 'CPTSD', 'Depression'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
"Do you ever feel like you’re stuck in loops — not just in thought, but in your life?","Like no matter what you do, you keep ending up in the same emotional patterns?",Tier 3,"{'CPTSD': 0.5, 'BPD': 0.5, 'Depression': 0.25}","{'condition': ['CPTSD', 'BPD', 'Depression'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel like you've built a version of yourself just to survive?,Like who you are isn’t fully real — just what got you through?,Tier 3,"{'CPTSD': 0.5, 'Autism': 0.5, 'Depression': 0.25}","{'condition': ['CPTSD', 'Autism', 'Depression'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you ever feel grief for something you can’t name — like a version of life that never happened?,Like mourning a life path you never got to walk?,Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'PMDD': 0.25}","{'condition': ['Depression', 'CPTSD', 'PMDD'], 'emotion': ['grief'], 'narrative_type': ['metaphor'], 'usage_mode': ['reflection']}"
Do you get emotionally numb around people — even the ones you love?,Like your feelings flatten when you're expected to connect?,Tier 3,"{'Depression': 0.5, 'Autism': 0.5, 'CPTSD': 0.25}","{'condition': ['Depression', 'Autism', 'CPTSD'], 'emotion': ['shutdown'], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you ever feel like you’re surviving instead of living?,"Like you’re doing what it takes to get through, not to grow?",Tier 3,"{'CPTSD': 0.5, 'Depression': 0.5, 'BPD': 0.25}","{'condition': ['CPTSD', 'Depression', 'BPD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you feel like no one would understand if you told the truth about how bad it gets?,Like your pain feels unspeakable — or too big to share?,Tier 3,"{'Depression': 0.5, 'CPTSD': 0.5, 'BPD': 0.25}","{'condition': ['Depression', 'CPTSD', 'BPD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
Do you sometimes wish you could just turn your mind off — even just for an hour?,Like your thoughts are a noise machine you can't unplug?,Tier 3,"{'GAD': 0.5, 'OCD': 0.5, 'ADHD': 0.25}","{'condition': ['GAD', 'OCD', 'ADHD'], 'emotion': [], 'narrative_type': ['lived_experience'], 'usage_mode': []}"
Do you feel like your nervous system is always waiting for the next bad thing?,"Like you're bracing for impact, even when nothing is wrong yet?",Tier 3,"{'CPTSD': 0.5, 'GAD': 0.5, 'PTSD': 0.25}","{'condition': ['CPTSD', 'GAD', 'PTSD'], 'emotion': [], 'narrative_type': ['metaphor'], 'usage_mode': []}"
